Volksabstimmung vom 22 September 2002;490;490  
Elektrizitätsmarktgesetz;
102;Andelfingen;18766 ;10304 ;54.9 ;9893 ;4774 ;48.3  
103;Bülach;71528 ;34506 ;48.2 ;33326 ;15928 ;47.8  
104;Dielsdorf;43898 ;19992 ;45.5 ;19289 ;9120 ;47.3  
105;Hinwil;51882 ;25193 ;48.6 ;24184 ;12246 ;50.6  
106;Horgen;71370 ;37048 ;51.9 ;35637 ;18945 ;53.2  
107;Meilen;62144 ;34700 ;55.8 ;33300 ;20214 ;60.7  
108;Pfäffikon;34126 ;17546 ;51.4 ;16863 ;8544 ;50.7  
109;Uster;69666 ;33878 ;48.6 ;32610 ;16410 ;50.3  
110;Winterthur;90757 ;46670 ;51.4 ;44750 ;21680 ;48.4  
111;Dietikon;44482 ;21067 ;47.4 ;20328 ;10534 ;51.8  
112;Zürich;216421 ;104526 ;48.3 ;100156 ;46449 ;46.4  
201;Aarberg;23880 ;9801 ;41.0 ;9468 ;5348 ;56.5  
202;Aarwangen;28793 ;12045 ;41.8 ;11633 ;5832 ;50.1  
203;Bern;168559 ;79568 ;47.2 ;76305 ;39880 ;52.3  
204;Biel;32393 ;11897 ;36.7 ;11529 ;5017 ;43.5  
205;Büren;15703 ;6780 ;43.2 ;6552 ;3333 ;50.9  
206;Burgdorf;32404 ;13015 ;40.2 ;12598 ;6641 ;52.7  
207;Courtelary;15394 ;5953 ;38.7 ;5791 ;1887 ;32.6  
208;Erlach;7332 ;2995 ;40.8 ;2897 ;1689 ;58.3  
209;Fraubrunnen;27026 ;11374 ;42.1 ;11002 ;5929 ;53.9  
210;Frutigen;13547 ;5288 ;39.0 ;5021 ;2523 ;50.2  
211;Interlaken;26870 ;10372 ;38.6 ;9968 ;5227 ;52.4  
212;Konolfingen;41263 ;17200 ;41.7 ;16542 ;9071 ;54.8  
213;Laupen;10891 ;4597 ;42.2 ;4417 ;2508 ;56.8  
214;Moutier;15420 ;6292 ;40.8 ;6074 ;1793 ;29.5  
215;La Neuveville;4183 ;1677 ;40.1 ;1611 ;639 ;39.7  
216;Nidau;28760 ;11830 ;41.1 ;11466 ;6083 ;53.1  
217;Niedersimmental;16064 ;6748 ;42.0 ;6477 ;3205 ;49.5  
218;Oberhasli;5632 ;2210 ;39.2 ;2112 ;1064 ;50.4  
219;Obersimmental;6133 ;2422 ;39.5 ;2311 ;1160 ;50.2  
220;Saanen;5519 ;2094 ;37.9 ;1954 ;1046 ;53.5  
221;Schwarzenburg;7573 ;2891 ;38.2 ;2783 ;1222 ;43.9  
222;Seftigen;26374 ;11147 ;42.3 ;10754 ;5528 ;51.4  
223;Signau;18463 ;5968 ;32.3 ;5692 ;2982 ;52.4  
224;Thun;66746 ;27963 ;41.9 ;26927 ;12721 ;47.2  
225;Trachselwald;17683 ;6049 ;34.2 ;5817 ;3038 ;52.2  
226;Wangen;18915 ;7829 ;41.4 ;7591 ;3968 ;52.3  
301;Entlebuch;13000 ;5867 ;45.1 ;5654 ;3396 ;60.1  
302;Hochdorf;38901 ;18231 ;46.9 ;17723 ;10186 ;57.5  
303;Luzern;107695 ;50394 ;46.8 ;48804 ;26626 ;54.6  
304;Sursee;42183 ;19026 ;45.1 ;18282 ;11337 ;62.0  
305;Willisau;31298 ;13951 ;44.6 ;13457 ;7798 ;57.9  
400;Kt Uri;25445 ;9866 ;38.8 ;9550 ;5049 ;52.9  
501;Einsiedeln;8810 ;3949 ;44.8 ;3800 ;1915 ;50.4  
502;Gersau;1323 ;677 ;51.2 ;642 ;357 ;55.6  
503;Höfe;16448 ;7739 ;47.1 ;7393 ;4460 ;60.3  
504;Küssnacht;7678 ;3854 ;50.2 ;3642 ;2089 ;57.4  
505;March;21831 ;9563 ;43.8 ;9200 ;4415 ;48.0  
506;Schwyz;32486 ;16257 ;50.0 ;15479 ;7722 ;49.9  
600;Kt Obwalden;22747 ;9974 ;43.8 ;9558 ;5465 ;57.2  
700;Kt Nidwalden;27866 ;19011 ;68.2 ;17664 ;9679 ;54.8  
800;Kt Glarus;24757 ;10111 ;40.8 ;9812 ;4432 ;45.2  
900;Kt Zug;66501 ;36170 ;54.4 ;35358 ;20765 ;58.7  
1001;La Broye;14963 ;6074 ;40.6 ;5927 ;2255 ;38.0  
1002;La Glâne;12277 ;4753 ;38.7 ;4664 ;1565 ;33.6  
1003;La Gruyère;25809 ;9957 ;38.6 ;9692 ;3389 ;35.0  
1004;La Sarine;52819 ;22161 ;42.0 ;21365 ;8641 ;40.4  
1005;See / Lac;19310 ;7873 ;40.8 ;7689 ;4139 ;53.8  
1006;Sense;28290 ;10143 ;35.9 ;9942 ;5280 ;53.1  
1007;La Veveyse;8800 ;3387 ;38.5 ;3306 ;1209 ;36.6  
1101;Gäu;11289 ;5147 ;45.6 ;5043 ;2478 ;49.1  
1102;Thal;9598 ;4757 ;49.6 ;4636 ;2281 ;49.2  
1103;Bucheggberg;5533 ;2705 ;48.9 ;2637 ;1474 ;55.9  
1104;Dorneck;12610 ;6203 ;49.2 ;6056 ;3267 ;53.9  
1105;Gösgen;14747 ;7152 ;48.5 ;7026 ;3228 ;45.9  
1106;Wasseramt;30384 ;13931 ;45.8 ;13599 ;6367 ;46.8  
1107;Lebern;28954 ;13734 ;47.4 ;13397 ;6424 ;48.0  
1108;Olten;32082 ;15522 ;48.4 ;15174 ;7295 ;48.1  
1109;Solothurn;10579 ;5088 ;48.1 ;4913 ;2634 ;53.6  
1110;Thierstein;9604 ;4477 ;46.6 ;4362 ;2222 ;50.9  
1200;Kt Basel-Stadt;117414 ;61268 ;52.2 ;59102 ;30971 ;52.4  
1301;Arlesheim;99799 ;47718 ;47.8 ;46154 ;25945 ;56.2  
1302;Laufen;11966 ;5049 ;42.2 ;4899 ;2565 ;52.4  
1303;Liestal;33834 ;14669 ;43.4 ;14274 ;7899 ;55.3  
1304;Sissach;21924 ;9563 ;43.6 ;9311 ;4790 ;51.4  
1305;Waldenburg;10347 ;4369 ;42.2 ;4236 ;2253 ;53.2  
1401;Oberklettgau;2974 ;2012 ;67.7 ;1847 ;929 ;50.3  
1402;Reiat;5023 ;3571 ;71.1 ;3298 ;1643 ;49.8  
1403;Schaffhausen;31629 ;19841 ;62.7 ;17729 ;7872 ;44.4  
1404;Schleitheim;2096 ;1246 ;59.4 ;1155 ;631 ;54.6  
1405;Stein;3272 ;1989 ;60.8 ;1875 ;929 ;49.5  
1406;Unterklettgau;2963 ;1892 ;63.9 ;1772 ;894 ;50.5  
1501;Hinterland;15896 ;7375 ;46.4 ;7239 ;3180 ;43.9  
1502;Mittelland;11075 ;6000 ;54.2 ;5873 ;2845 ;48.4  
1503;Vorderland;8832 ;4200 ;47.6 ;4130 ;1783 ;43.2  
1600;Kt Appenzell Innerrhoden;10144 ;4200 ;41.4 ;4117 ;1976 ;48.0  
1701;St Gallen;51808 ;23920 ;46.2 ;23479 ;11128 ;47.4  
1702;Rorschach;22060 ;9251 ;41.9 ;9108 ;4333 ;47.6  
1703;Unterrheintal;24512 ;10647 ;43.4 ;10482 ;4688 ;44.7  
1704;Oberrheintal;17623 ;6748 ;38.3 ;6632 ;2549 ;38.4  
1705;Werdenberg;21036 ;8588 ;40.8 ;8393 ;4192 ;49.9  
1706;Sargans;23152 ;9977 ;43.1 ;9786 ;4858 ;49.6  
1707;Gaster;8651 ;3150 ;36.4 ;3080 ;1773 ;57.6  
1708;See;29389 ;12150 ;41.3 ;11946 ;6782 ;56.8  
1709;Obertoggenburg;7999 ;3422 ;42.8 ;3345 ;1526 ;45.6  
1710;Neutoggenburg;9422 ;3927 ;41.7 ;3847 ;1837 ;47.8  
1711;Alttoggenburg;9740 ;3847 ;39.5 ;3766 ;1958 ;52.0  
1712;Untertoggenburg;23463 ;9462 ;40.3 ;9284 ;4027 ;43.4  
1713;Wil;21349 ;9173 ;43.0 ;9023 ;4437 ;49.2  
1714;Gossau;19668 ;8324 ;42.3 ;8191 ;3814 ;46.6  
1821;Albula;6240 ;2167 ;34.7 ;2104 ;1010 ;48.0  
1822;Bernina;3711 ;1704 ;45.9 ;1645 ;1171 ;71.2  
1823;Hinterrhein;8571 ;3277 ;38.2 ;3181 ;1443 ;45.4  
1824;Imboden;11503 ;4468 ;38.8 ;4328 ;2252 ;52.0  
1825;Inn;6623 ;2175 ;32.8 ;2099 ;1214 ;57.8  
1826;Landquart;15342 ;5334 ;34.8 ;5163 ;2780 ;53.8  
1827;Maloja / Maloggia;11030 ;3916 ;35.5 ;3789 ;2288 ;60.4  
1828;Moësa;5466 ;2119 ;38.8 ;2010 ;835 ;41.5  
1829;Plessur;26631 ;11372 ;42.7 ;10747 ;5467 ;50.9  
1830;Prättigau-Davos;17291 ;5989 ;34.6 ;5745 ;2935 ;51.1  
1831;Surselva;16518 ;6032 ;36.5 ;5852 ;3357 ;57.4  
1901;Aarau;42571 ;18653 ;43.8 ;18127 ;9151 ;50.5  
1902;Baden;73687 ;31309 ;42.5 ;30540 ;17090 ;56.0  
1903;Bremgarten;40979 ;16703 ;40.8 ;16356 ;8351 ;51.1  
1904;Brugg;28588 ;12770 ;44.7 ;12454 ;6406 ;51.4  
1905;Kulm;23324 ;9380 ;40.2 ;9119 ;4022 ;44.1  
1906;Laufenburg;17845 ;7518 ;42.1 ;7337 ;3805 ;51.9  
1907;Lenzburg;30528 ;12532 ;41.1 ;12245 ;6224 ;50.8  
1908;Muri;19288 ;7395 ;38.3 ;7198 ;3735 ;51.9  
1909;Rheinfelden;25203 ;9333 ;37.0 ;9109 ;4779 ;52.5  
1910;Zofingen;39271 ;15713 ;40.0 ;15182 ;7096 ;46.7  
1911;Zurzach;18915 ;8130 ;43.0 ;7969 ;4237 ;53.2  
2001;Arbon;22946 ;9969 ;43.4 ;9460 ;3987 ;42.1  
2002;Bischofszell;18848 ;7835 ;41.6 ;7432 ;3291 ;44.3  
2003;Diessenhofen;3948 ;1746 ;44.2 ;1695 ;732 ;43.2  
2004;Frauenfeld;28290 ;13216 ;46.7 ;12650 ;6015 ;47.5  
2005;Kreuzlingen;20578 ;9030 ;43.9 ;8619 ;4388 ;50.9  
2006;Münchwilen;22806 ;9874 ;43.3 ;9474 ;4330 ;45.7  
2007;Steckborn;11293 ;5391 ;47.7 ;5159 ;2456 ;47.6  
2008;Weinfelden;16070 ;7647 ;47.6 ;7265 ;3650 ;50.2  
2101;Bellinzona;27597 ;9601 ;34.8 ;9107 ;2848 ;31.3  
2102;Blenio;4518 ;1850 ;40.9 ;1700 ;685 ;40.3  
2103;Leventina;6245 ;2543 ;40.7 ;2448 ;694 ;28.3  
2104;Locarno;38334 ;13641 ;35.6 ;12813 ;5424 ;42.3  
2105;Lugano;79393 ;28660 ;36.1 ;27086 ;11175 ;41.3  
2106;Mendrisio;31346 ;11618 ;37.1 ;10958 ;4240 ;38.7  
2107;Riviera;6544 ;1927 ;29.4 ;1835 ;476 ;25.9  
2108;Vallemaggia;4024 ;1953 ;48.5 ;1801 ;756 ;42.0  
2201;Aigle;19619 ;8297 ;42.3 ;8137 ;2364 ;29.1  
2202;Aubonne;7173 ;3341 ;46.6 ;3281 ;1081 ;32.9  
2203;Avenches;4199 ;1630 ;38.8 ;1600 ;624 ;39.0  
2204;Cossonay;13419 ;6305 ;47.0 ;6189 ;1709 ;27.6  
2205;Echallens;13547 ;6366 ;47.0 ;6257 ;1687 ;27.0  
2206;Grandson;8418 ;3712 ;44.1 ;3640 ;1136 ;31.2  
2207;Lausanne;103132 ;46495 ;45.1 ;45544 ;11630 ;25.5  
2208;Lavaux;15077 ;7666 ;50.8 ;7485 ;2359 ;31.5  
2209;Morges;38294 ;17944 ;46.9 ;17508 ;5578 ;31.9  
2210;Moudon;7326 ;3260 ;44.5 ;3179 ;885 ;27.8  
